SSAP-MD386.PV,SSAP-FB385.PV,SSAP-MD385.PV,SSAP-PD3850.PV,SSAP-PD3851.PV,SSAP-TD3851.PV,SSAP-TD3855.PV,SSAP-TD385A.PV,SSAP-TD385F.PV,SSAP-MD385A.PV,SSAP-PD385A.PV,SSAP-TD385A1.PV,SSAP-TD385A8.PV,SSAP-FB389.PV,SSAP-MJ384.PV,SSAP-PVU01.PV,SSAP-WV383.PV,half_假比重,half_含水率,half_平均粒徑μm,half_膠體強度,half_茶袋保持力,SSAP-FJ3021.PV,EC-SAP,EC,bad_ratio,mix,bridge,FT_total,high_FT,low_FT,TD385,TD385A,PD385A,BC283FA,BC283FAN,BC283GAN,BC583AN,BC586G,last_tea
-0.7257290036995911,0.5318556896536866,0.2760745059459643,0.06583497856112741,-0.32200209891350107,-0.278409389393102,-0.17877880529961815,0.08527859516838086,-0.1513325689004841,-0.030854128233616034,0.6243502150024021,0.5196166632448171,-0.15397572309790783,0.9203710804859649,-1.144799626353252,-0.12914524134403862,-0.9100776472954475,0.23338248669311332,0.885515604408366,0.9750773942975286,0.7509906502964054,0.19112301126318704,-0.17892771505258145,0.14967736589630717,-0.27633209619113713,-0.06415841045319222,-0.05140988298236961,-0.05477242832342563,0.5662435885129007,-0.3126664900417768,0.5663691204339144,-0.22000706518638552,0.15784465308861376,0.09373095565481997,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.05485257798069294
-0.7337164107970844,0.5330623736154494,0.3180681365244815,0.3106479671529214,-0.3214016109495335,-0.2787060389080242,-0.17877880529961815,0.1037315551971626,-0.14805447206041744,0.03814580836505721,0.6243502150024021,0.5781581317124838,-0.5764140788120676,0.9358620198859264,-1.1368535108771967,-0.4907785068976401,-0.9483010254525445,0.29704845094131777,0.885515604408366,0.9666854367187888,0.7358013107901499,0.22875354895492594,-0.17892771505258145,0.15527369205488373,-0.28839152750236163,-0.06415859729218354,-0.051760332794338955,-0.054772481993620406,0.5971028733115298,-0.3126664900417768,0.5971590825776848,-0.22259128862285954,0.14478081857602762,0.09570922283869511,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.13257472609126636
-0.7215825152865487,0.5342690830606011,0.28489663871602333,0.28249824167077686,-0.32080118468798813,-0.2909166773331567,-0.17877880529961815,0.12218478439730987,-0.14477637522033981,-0.04729629283147687,0.6243502150024021,0.6366974927469121,-0.5381547041614303,0.9267539351262616,-1.144799626353252,-0.6149154871364275,-0.9455723261548429,0.29704845094131777,0.885515604408366,0.9666854367187888,0.7206119712838942,0.22875354895492594,-0.17892771505258145,0.1694912413519326,-0.274548408643328,-0.06415856266351279,-0.051879483338383915,-0.0547725591289236,0.5995241958594889,-0.3126664900417768,0.5995749658386226,-0.2174115559798106,0.1407049144539545,0.09203846014895006,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.21029687420183424
-0.5756115726812873,0.5354757925057526,0.33481833439074754,0.05780652270833054,-0.32020065875329995,-0.29075035774527863,-0.17877880529961815,0.1406377237206033,-0.14149829125432414,-0.22006792874983952,0.6243502150024021,0.6952384247770577,-0.5221425874247888,0.9304336858020272,-1.144799626353252,-0.18174343589611103,-0.9442218833878762,0.36071441518952224,0.885515604408366,0.9582934791400489,0.7054226317776437,0.2663840866466702,-0.17892771505258145,0.14681429468076618,-0.2940866992860007,-0.06428585345913491,-0.051525374996171804,-0.05477256094974553,1.7466217619130382,-0.3126664900417768,1.744095678631328,-0.21714179854816906,0.14067971449965921,0.0896703764330269,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.21029687420183424
-0.011206875467768667,0.5366824764675154,0.4905451296895109,0.38625648963241804,-0.31960019926737365,-0.27631260333991453,-0.17877880529961815,0.159090683749385,-0.13822019441426117,-0.15277133038798624,0.6243502150024021,0.6900199602621834,-0.5061676099190914,0.8987976627237986,-1.1259938329978718,-0.5808704322278997,-0.9857416798743177,0.36071441518952224,0.885515604408366,0.9582934791400489,0.7054226317776437,0.2663840866466702,-0.17678052094135538,0.1507888065855711,-0.30905490255887386,-0.06415853245452303,-0.051623297510549115,-0.05477229704803814,0.374376561445172,-0.3126664900417768,0.37493310567845906,-0.21550349239134736,0.14065483439971893,0.08976988680480305,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.21029687420183424
0.27884045816897873,0.5378891859126671,0.5813113306761809,0.6817802499122788,-0.3189997397814465,-0.3209280671946787,-0.17877880529961815,0.17731068631548078,-0.1422860294035146,-0.07578890545460477,0.6243502150024021,0.6713291348243943,-0.4753696241268769,0.8925918814443802,-1.144799626353252,-1.048187587040808,-0.968302191403647,0.32888143306542,0.8261417453269149,0.9582934791400489,0.7054226317776437,0.2663840866466702,-0.17307953984650912,0.17229740680418398,-0.28220287015966616,-0.06415842003812348,-0.05139833393940155,-0.05477213185250019,0.48855217552833047,-0.3126664900417768,0.4888522343394827,-0.2186794847242114,0.14062963444542365,0.08788571012795288,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.2491579482571237
0.24375550061929707,0.5122415321829349,0.6060261665768515,0.34835065998964093,-0.31785693499776635,-0.28673216893873466,-0.17877880529961815,0.14864826350965632,-0.1472297724771779,-0.1495100968807817,0.6243502150024021,0.6525292976124383,-0.4613612762557513,0.9180658625755433,-1.1308497799514154,-0.30073292817440594,-0.9868432839360216,0.32888143306542,0.7667678862454637,0.9582934791400489,0.7054226317776437,0.2663840866466702,-0.16935794897350456,0.14188127632554268,-0.3174417930412391,-0.06415833757883219,-0.05153064537076274,-0.054771787834627904,0.8875847933856753,-0.3126664900417768,0.8869884607015109,-0.21712613151365895,0.14060459441830586,0.0892077433974337,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.28801902231240767
0.11430274739215125,0.4803968662102834,0.6027020134458427,0.22731603760637312,-0.3166574209425821,-0.2725035712886099,-0.17877880529961815,0.11729085559769299,-0.15217458409805965,-0.005995343123756845,0.6243502150024021,0.6337241726589417,-0.5838010107326096,0.8911992902740896,-1.1368535309807883,-0.20388098093578955,-1.0237248982812885,0.29704845094131777,0.7073940271640125,0.9582934791400489,0.7054226317776437,0.2663840866466702,-0.1658703985441934,0.19156000767793524,-0.28989090901131576,-0.06415845917715256,-0.051885125981694,-0.05477164764602339,0.5175856193034684,-0.3126664900417768,0.5178204570501884,-0.20974870159076386,0.1405790746096491,0.00448423554477846,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.21029687420183424
-0.25698024144234105,0.4980689164245548,0.5362428056070065,-0.18141701997352985,-0.31546326075902986,-0.2887573545087859,-0.17877880529961815,0.08607219517105448,-0.15709761280482437,0.06568304662129647,0.6243502150024021,0.5103953783439434,-0.7223740214533845,0.9336741695847457,-1.1432104094639324,-0.7769296390049168,-0.9634054572881066,0.29704845094131777,0.648020168082565,0.9582934791400489,0.7054226317776437,0.2663840866466702,-0.16251598065579861,0.15463883713317625,-0.29568661817259634,-0.06415844697937038,-0.05160138910039241,-0.05477148844157694,0.9593690395600873,-0.3126664900417768,0.9586114499137378,-0.21628045572858678,0.14055373757490855,0.00639812631983621,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.13257472609126636
-0.4899004409430468,0.491987117312384,0.5137835087249559,0.15241892203554683,-0.31426909582913803,-0.300688021785505,-0.17877880529961815,0.05485351403892767,-0.1620206543856547,0.21426691611922552,0.6243502150024021,0.34991816853800156,-0.7866834676200611,0.9610995324963145,-1.1845300048827854,-1.0290404380896718,-0.8883880234423607,0.3076594449826852,0.5886463090011101,0.9331176064038295,0.7054226317776437,0.2663840866466702,-0.15910280556616088,0.11486526520349219,-0.29766335008094047,-0.06415843814000839,-0.051844464732821734,-0.05477127176376734,0.6167105084565103,-0.3126664900417768,0.6167226709039326,-0.21693545475765916,0.140570370001686,0.009018312355477167,-0.438158786700517,-0.5453066633196861,1.6824115057191777,-0.5712189420985675,-0.33822835790443384,-0.015991503925403477
