SSAP-FD3863.PV,SSAP-TD3861.PV,SSAP-PD3850.PV,SSAP-PD3851.PV,SSAP-TD3851.PV,SSAP-TD385A.PV,SSAP-TD385D.PV,SSAP-TD385F.PV,SSAP-PD385A.PV,SSAP-TD385A1.PV,SSAP-TD385A6.PV,SSAP-FB389.PV,SSAP-PVU01.PV,SSAP-WV383.PV,half_假比重,half_含水率,half_平均粒徑μm,half_膠體強度,half_茶袋保持力,SSAP-FJ3021.PV,EC-SAP,EC,bad_ratio,mix,bridge,FT_total,high_FT,low_FT,TD385,TD385A,PD385A,BC283FHA,BC283HA,BC383GA,BC8000,last_psi7
-3.907957856351051,1.9096238529045166,1.0317858239258453,1.8978070866526688,1.9849380925994313,0.5567135193035384,0.7200173003106479,1.479719090352926,1.562473435802136,0.5322621161751009,0.05663726406887173,-5.2506019075765735,0.4667854411511122,0.404535127229653,0.07912177450194986,-0.9380391198685654,0.9626331957294216,1.117320184744549,1.5951544507766655,0.9780194392745368,-0.11400459206534996,0.3103596121891737,-0.4296570157085952,1.6749032165676654,0.483155852927783,-0.09969801169498575,-0.16233361822272196,-0.07976639265191056,1.7423768130260822,0.5062498676462966,0.4198520118494473,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.2882140506610399
-3.881319197358903,2.038144003391333,0.9948709333565643,1.885243028998309,1.9266899736260452,0.5795251597099197,0.7313653320741448,1.5569675204955715,1.2857157750635162,0.1471884317246773,0.4662957052317974,-5.331518459766196,0.5283547218632115,0.4098547147899281,0.2226223907216636,-0.7451744507413585,0.5215511882265016,0.9542645165907763,0.7868312155274481,0.5892180031523706,-0.1838921226556247,0.2845838318491079,-0.43160501307819127,1.7098505670072974,0.2740016674482907,0.24427415418055462,-0.16233361822272196,0.27664587109690064,1.7455239147107617,0.44536025014757885,0.4124133519149374,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.5669144530174877
-3.898037941729878,2.010061521380299,0.2406656601372994,1.8925646920987973,1.9942010803560397,0.581977856932337,0.7370390379946153,1.5667506810613696,1.8234422945054607,-0.04534841050051655,0.654862219405819,-5.308557710568741,0.5693782277508219,0.3935079536178866,0.36612300694137734,-0.5523097816141516,0.08046918072358161,0.7912088484370176,-0.02149201972176939,0.16831093458308863,-6.944646140954596,-2.678594892174244,-0.4300641671305355,1.7244882075636698,0.04502743054300176,-0.1224374306915483,-0.16233361822272196,-0.10332820551042561,1.7595617588697459,0.434925770117734,0.4757748863588199,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.5271001098237088
-3.9105214218651003,2.4890550746335522,0.5361369135881866,1.8830890730399494,1.8249405098526503,0.5844302887077241,0.7427127439150732,1.5765343797914526,1.4286864615275332,0.10025297201241547,0.541965381840245,-5.320233352135148,0.5541171714032208,0.34691954428518235,0.36612300694137734,-0.3594451124869413,0.08046918072358161,0.6281531802832447,-0.02149201972176939,0.04168538614673685,1.0674794339265092,0.7732749301406096,-1.2334222654417597,1.6770895667621315,-0.024173409268078268,-0.11453073631785514,-0.16233361822272196,-0.09513555761600957,1.76178664204487,0.4489157522724809,0.4122070174553316,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.5470072814205983
-3.909629784121364,2.3556950214903094,0.9265973459722967,1.8910650512667668,1.783527344411307,0.5868829859301387,0.7483870697581375,1.5863175403572616,1.766773557058252,0.10687686673810592,0.36500301795783424,-5.306479319483664,0.36685553752521477,0.36457857745032546,0.36612300694137734,-0.16658044335973438,0.2127937829744576,0.4650975121294721,-0.26398899029653233,-0.08666439000566423,0.012957881823909499,0.33013278771643245,-0.2750133293637353,1.6602711214449877,0.10463267991886008,-0.31300382052343156,-0.16233361822272196,-0.30078661968628523,1.758210798717523,0.4629057344272052,0.6469040949900801,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.5669144530174877
-3.8951400872968733,2.2367396686404324,0.856497271069798,1.900985220480221,1.7975494704697075,0.5893354159533998,0.7613543069553693,1.5961007026703522,1.8810467184250863,0.03269879552653921,0.18803665424885185,-5.323908124625498,0.42290958666882855,0.3990989358171531,0.36612300694137734,0.026284225767472514,0.2127937829744576,0.30204184397571326,-0.26398899029653233,-0.1382380471903704,-0.10173493440206716,0.31087934627681235,-0.2746711602812572,1.6920226230523072,0.08129041554935083,0.10579695514873688,-0.16233361822272196,0.13316050547466313,1.767734273234067,0.4768957165819475,0.6483467193626943,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.646543139405044
-3.8775297051821616,2.072623472711721,0.8752666988723837,1.9673125873006756,1.887007309522023,0.5917881131758088,0.8068694582584378,1.6058836011431723,1.9953199847328529,-0.04147840230541473,0.011072974519377242,-5.272734778567232,0.5634844541132081,0.44077453010431217,0.36612300694137734,0.2191488948946794,0.3451183852253336,0.13898617582194053,-0.5064859608712953,-0.14453390573489705,-0.2291056750536491,0.29226295388894585,-0.27049803436888054,1.7044043688807886,0.07971098322252448,0.08650714721143352,-0.16233361822272196,0.11317306231421359,1.819428112053008,0.4908857001807447,0.6493501602640115,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.7261718257926003
-3.8890098654789598,2.149796053655305,0.7927904870301855,1.983493874157943,1.8782436144625767,0.5942404100375289,0.8523852254323555,1.615666759961689,1.7083989412746503,-0.11565647926288317,-0.1643695685715792,-5.272139228805809,0.5352439171487504,0.4337284904353686,0.36612300694137734,0.2191488948946794,0.3451183852253336,0.13898617582194053,-0.5064859608712953,-0.15113475485201977,-0.20210094498761025,0.2978166067291537,-0.273524160206287,1.70163972930027,0.07417920333421185,0.0378499734052092,-0.16233361822272196,0.0627561530862424,1.8191383716982745,0.504875682335478,0.6478558218171762,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.6863574825988229
-3.907511987322554,2.370437893969379,1.4834413334459498,1.9892258782140062,2.109108673957193,0.596687626611133,0.8979010007098132,1.627356753575723,1.7083989412746503,-0.18983542385400876,-0.02125962748613408,-5.312275309563487,0.46996244164750733,0.4481614414034211,0.25849754477659204,0.10894051253627547,0.30101018447504163,0.2438076767779348,-0.4256536373463781,-0.1575321391504784,-0.2012930268663642,0.3109747732985252,-0.24099768896832394,1.6787892760811916,0.11194135236636849,0.035232642693161724,-0.16233361822272196,0.0600441639876894,1.811862074371164,0.5075748091013503,0.6461846692455329,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.646543139405044
-3.908180757427546,2.32292770505467,0.26045503473903847,1.9927153938089324,1.875059778297293,0.5991097141996855,0.9193735517562601,1.6394402675753221,1.6953025976376788,0.0250052521242904,0.14039540031661232,-5.306049215033635,0.432688286293516,0.34596985511252987,0.25849754477659204,-0.0012678698221284697,0.30101018447504163,0.3486291777339291,-0.4256536373463781,-0.1639298569404536,-0.005362245585306671,0.3055669816463481,-0.24004843088482247,1.6710246480115227,0.109448517206082,-0.017767183864603076,-0.16233361822272196,0.0051275456221725295,1.8246209481958577,0.5026065602363309,0.7625842834519891,0.0,-0.19870362335747993,0.27817432013209353,-0.1871497204644107,0.6664503110019334
