SSAP-TD385F.PV,SSAP-TD385A1.PV,SSAP-DPF389.PV,SSAP-FB389.PV,SSAP-PVU01.PV,half_假比重,half_平均粒徑μm,half_茶袋保持力,EC,FT_total,TD385A
1.1619942445280271,0.5964751783423459,1.1084565395797936,0.4136870342920923,-0.8611782087300458,1.4669300195064185,0.8324026041212343,-1.0194240070709162,0.3903904911507511,0.8184877782995058,1.3648985359434298
0.5909093886642902,1.0412723664963552,1.1312887734143233,0.4065361914842728,-1.2497727540528791,0.7151031839411215,0.8778599207734441,-1.0194240070709162,-1.3035260233566042,0.03878099227696855,0.26873862105399626
1.234099887693891,0.879453601002627,1.0782624865400023,0.4758056757738119,-0.6452768349705734,1.5352779136487182,0.7869452874690246,-0.8624568587740401,0.3449972413829359,0.5428417636406765,-0.029061546835197245
-1.042602180515782,-0.773071651509458,1.1401442551639553,0.41873954842123745,-1.614062644820317,0.3050158190873231,-0.3267589705101146,-0.07762111728967097,0.42321562775431437,0.8488938027100934,-0.4552278754621021
-0.5465818116404255,-0.8156911997075622,0.743780834789384,-2.7939782019124624,0.5439565442119515,1.0568426546526202,-0.2358443372056951,-2.275161193445902,0.4049152046263555,-0.7533327299279191,-0.1963784238170432
0.8011357187527492,0.9024447451205442,1.1511336200649567,0.3530746378784878,-1.6021989791116804,0.7151031839411215,0.7869452874690246,-1.0194240070709162,-0.7353271572509421,0.04752284646686301,0.4584945621080406
0.867714906687407,0.9639858511675449,-0.10069197581040085,0.4314746585770917,0.9907723414291402,0.6467552897988217,0.7187593124907099,-1.0194240070709162,0.39218734024867347,-0.019298500516098577,1.761535253332724
1.124063496458025,1.1300808581859783,-0.05118655578998769,0.3938479272134071,-0.8809927885988452,0.8517989722257209,0.8324026041212343,-1.0194240070709162,0.39774634570337564,0.8189358505739834,1.5381657987673802
1.2756697762381841,1.5084515383836943,0.6700561847488542,-1.911739332836723,0.5840742145375223,0.37336371322962286,0.7414879708168148,-0.23458826558654702,-0.18110032468721204,-0.7549781252175237,0.7702475807467506
-0.7883968478150271,-0.9239144578070506,-1.163778156577621,0.4872018930668848,-0.8107135022539674,-1.9504646876085678,-0.39494494548842923,-0.07762111728967097,0.3872334182072149,-0.6309917603933759,-0.9777939918567496
1.0662175841679273,1.2977573308444175,0.6761376498013719,-4.365815708534056,-0.36996507826376673,0.7151031839411215,0.9233172374256539,-0.705489710477164,-0.751315090330382,-0.7536137597283569,0.9095445507972159
0.49198634754636406,1.2060053739029277,0.7583977452260832,-0.3394459149413306,1.392423946610982,0.2366679249450234,0.6960306541646051,-0.07762111728967097,-0.7163306187647887,-0.7536137597283569,0.8256201946225471
-0.5683549076492457,-0.9170590030050818,0.6080677126370545,-1.4379737746997083,0.5136257699125684,-0.651854698904873,-0.6676888454016878,1.1781160690853152,0.37465990439848673,-0.03900962275698719,-0.3039910234164159
-0.7949368233232883,-0.9234010668428236,-1.1374250558891823,0.1814466131451914,-0.19301694361702193,-0.37846312233567414,-2.4859815114900785,0.23631317930406998,-1.4358637182250904,-0.6817315416824467,-2.1492963699890493
0.9912824917921355,0.9543394569018874,1.0162740265911725,0.33771318671456874,-0.5876521198399323,1.0568426546526202,0.7414879708168148,0.07934603100720508,-0.17723169548599665,-0.7536137597283569,0.6081240557550405
1.418563296037097,1.040949397384222,1.0484952221654227,0.4195607183323332,2.278455043992019,-0.3101152281933744,0.8324026041212343,0.7072146241946982,-1.9588654985543499,-0.7536137597283569,1.6889174216702387
-0.1276632197365246,-0.6983341845864185,0.7752551928499252,-2.7939782019124624,0.6289789038775948,-0.3101152281933744,-0.2131156788795902,-0.23458826558654702,0.4084946109641458,0.1312183922204666,-0.3873618076390251
1.2350796533483048,0.8503311690516553,-1.2986377423695288,0.6516243560307549,1.2776517932603606,-1.2669857461855705,0.9687745540778636,1.1781160690853152,0.37375136169340367,-0.7493574186703782,1.3717769753571205
1.2989082585358762,0.9995617702805618,0.7746150341780462,0.4018627328730841,0.1535129071079717,0.16832003080272365,0.8551312624473392,1.021148920788439,-0.7925359669664532,0.7046863257139896,0.5593967767807957
-1.0105186299449593,-0.7175628611820216,1.1154982486415956,0.3504566372948385,-1.2762105010511162,0.03162424251812421,-0.25857299553179997,-0.07762111728967097,0.3627603910204316,0.9914964780003086,-0.37722986435151956
0.9325367908242376,1.0581328245218247,1.1074962952504315,0.41762069955088527,-0.36087037150715723,0.7151031839411215,1.105146504034493,1.3350832173821912,-0.7480126868679368,-0.7536137597283569,0.8072189225136189
-1.1229209623792802,-1.9079902578408694,-0.8432732473095571,0.3874728892071056,-0.5432790708086336,0.44171160737192255,-0.6222315287494781,1.3350832173821912,0.393966634630389,1.0703832848995967,-1.7815304555394316
-1.13517133053599,-0.9376379990204187,-0.9772792938603395,0.5520513239244562,-1.4734814266521057,-0.7885504871894725,-0.3267589705101146,-0.23458826558654702,1.5777224549635762,-0.6475968288679054,-0.594944613976665
1.2391723271947834,1.0321834706547692,0.7298040951875329,0.3033143118511583,-0.16994218672574218,0.578407395656522,0.7642166291429197,0.39328032760094606,0.35921184251202004,0.690910649345247,1.7481071553888845
-0.4065460175936412,-0.46146044196886077,-1.806815129811177,0.32024530034494986,-0.3340846773861041,-1.7454210051816688,-2.576896144794498,1.021148920788439,-0.17016618886863902,-0.7536137597283569,-0.8443425846542996
1.1260275293218847,0.9639439900410366,0.7138001884052064,0.34447640006576435,0.3358960278250033,0.37336371322962286,0.7187593124907099,0.5502474758978221,0.38187859306809363,0.6913582052274662,1.7985719840083616
