SSAP-MD386.PV,SSAP-FB385.PV,SSAP-MD385.PV,SSAP-PD3850.PV,SSAP-PD3851.PV,SSAP-TD3851.PV,SSAP-TD3855.PV,SSAP-TD385A.PV,SSAP-TD385F.PV,SSAP-MD385A.PV,SSAP-PD385A.PV,SSAP-TD385A1.PV,SSAP-TD385A8.PV,SSAP-FB389.PV,SSAP-MJ384.PV,SSAP-PVU01.PV,SSAP-WV383.PV,half_假比重,half_含水率,half_平均粒徑μm,half_膠體強度,half_茶袋保持力,SSAP-FJ3021.PV,EC-SAP,EC,bad_ratio,mix,bridge,FT_total,high_FT,low_FT,TD385,TD385A,PD385A,BC283FA,BC283FAN,BC283GAN,BC283UT,BC583AN,BC586G,last_tea
0.8572599584741258,0.2023265679622236,0.16385666167833474,-0.1794339601055359,-0.02684941532244937,0.6872315141743456,-0.1166628441142697,-0.20402506119392305,-0.19407050322569228,-0.00562282034457559,0.6039894632497923,-0.3039100849552896,-1.7388153801440405,0.9440241795811464,-0.8776853855763008,-1.8885276157504194,1.5880100389311511,0.03734982316028305,-1.5209712499560513,0.4921289180818471,-0.5993297321087535,0.4823689672724145,-0.12828922935572667,-0.10454147735727563,0.6814510762646369,-0.056484646102153827,-0.05281834216847948,-0.04793552741476146,1.1608459781992064,-0.10541835843806059,1.1775967997404255,0.029048643286348676,-0.25907407391297416,0.4351769144928641,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,-0.24008780787669792
0.7542215106715573,0.20836158903587693,0.15714167063606246,0.19190904691030455,-0.004697811592092576,0.3624576456079196,-0.1166628441142697,-0.20027955768023215,-0.18753878872436916,-0.00562282034457559,0.6039894632497923,-0.24328501545438003,-1.4202147954084128,1.0643251739834803,-0.977359722834659,-0.696258035743063,1.658790985276868,0.03734982316028305,-1.1611196972890871,0.4921289180818471,-0.5671672807896159,0.4823689672724145,-0.2691682481202327,0.0005583256851282791,0.8171112638665767,-0.056484722136302755,-0.05245036322492615,-0.04794767685072084,0.9054565225917452,-0.09358251188277535,0.9219767036545546,0.04849181154778316,-0.1691761453392756,0.7071854219967401,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,-0.29467183674835956
0.6265281002067188,0.22043149405336815,0.18615325724159076,0.3273675434131918,-0.09949076185740144,0.10377001678204475,-0.1166628441142697,-0.1927893592635638,-0.17447489119884915,-0.00562282034457559,0.6039894632497923,-0.12201683740985819,-1.3878943410993172,1.0173510384775786,-0.9809857889675422,-0.3275878335987459,1.6240464065260203,0.17442709115061644,-0.8012681446221204,0.43214773287227165,-0.5350048294704783,0.4823689672724145,0.1331743781834241,-0.019348340376851653,0.7808208208479227,-0.056484839997485554,-0.05202660422332839,-0.047913109510718255,0.378098443700167,-0.10541835843806059,0.40517731318846295,-0.011390468211904316,0.651630301617628,0.5679959006048507,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,-0.34925586562004446
0.3076858392847307,0.23250143343754393,0.24742590458474953,0.43775850817400147,-0.1256190396950115,0.2276447387628183,-0.1166628441142697,-0.1852983522361653,-0.16141099057053282,-0.00562282034457559,0.6039894632497923,-0.0007479270312125867,-1.6496176675993206,1.0291288147919175,-1.0580188794420757,-0.4345729905020148,1.620543386060278,0.17442709115061644,-0.44141659195515354,0.43214773287227165,-0.5028423781513375,0.4823689672724145,-0.0958558006405901,0.004775430271897991,0.8021979054547166,-0.05648472152396618,-0.05231111024222192,-0.04793266270409179,0.4352948499770133,-0.10541835843806059,0.4616190352275546,-0.04097648307648915,0.6406152671551532,0.43108840972714635,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,-0.29467183674835956
0.047687681319556585,0.24457133823041413,0.19952012984062284,0.25076358330664944,-0.12728135490340453,0.09993636140865725,-0.1166628441142697,-0.1778077508484733,-0.14834732885785515,0.01755005917197252,0.6039894632497923,0.05507859174343646,-1.6515968059246078,1.0123839224888251,-1.0382520956788444,-0.3144459087135772,1.639414521855466,0.3115043591409498,-0.0815650392881895,0.3721665476626962,-0.4706799268321999,0.4823689672724145,0.27996667856039337,-0.006464720150836482,0.8007772258301095,-0.05647702080031211,-0.052429530901872926,-0.047903839075036994,0.6611280633721527,-0.10541835843806059,0.6844724675908953,-0.05123895948776614,0.6295998389651042,0.3378681630100045,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,-0.24008780787669792
-0.07901340469588136,0.25664131186896855,0.18267503785748435,0.07972759871832484,-0.1289436645705055,0.06121846141406407,-0.1166628441142697,-0.1703171467921068,-0.13528366559377203,0.10667211336390307,0.6039894632497923,0.06411121951592898,-1.7056302870435278,1.0029849354721174,-1.0270641659558064,-0.42440215822686705,1.5768527407130362,0.3115043591409498,-0.0815650392881895,0.3721665476626962,-0.4706799268321999,0.4823689672724145,0.22352239692707657,-0.01506316305046821,0.7615619448404066,-0.05642335222435337,-0.0523639747247659,-0.047908543988372486,0.5069807133864245,-0.10541835843806059,0.5323590316724741,-0.051438345281523266,0.6185844042992631,0.33498855058151067,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,-0.07633572126168198
-0.18521305918274847,0.2659865273042025,0.16257809317591665,0.09895654452716654,-0.13060582462275647,0.08582613287132446,-0.1166628441142697,-0.16282654540440644,-0.12222000232968407,0.10667211336390307,0.6039894632497923,0.07314384728842149,-1.8369379727721251,0.9979022143973622,-0.9977898276861574,-0.26928972605068496,1.633770318565432,0.28104274403198687,0.02339166357300835,0.44071647361649674,-0.4143956370237075,0.2775504828143864,0.16451248492300025,-0.030217012994558354,0.7752170511705921,-0.056383745754062554,-0.05258185235127802,-0.04791366788272691,0.4570016112072144,-0.10541835843806059,0.4830393842228008,-0.05378050142009728,0.6075693711319531,0.3364610293780036,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,0.08741636535333397
-0.09234007720622806,0.2610855682325176,0.11851037926204686,0.23943643386569194,-0.10781383053652431,0.29312682052684225,-0.1166628441142697,-0.1553355357083418,-0.10915610325277317,-0.00562282034457559,0.6039894632497923,0.08217647033619155,-1.586267276504806,0.9955694925570627,-1.0256491024589358,-0.29342069446468194,1.5585208339215735,0.28104274403198687,0.1283483664342062,0.44071647361649674,-0.3581113472152151,0.2775504828143864,0.10892347064082691,0.019995732269578098,0.7860082347198384,-0.05638441916199848,-0.053001227813071636,-0.047918427736186604,0.5088144019633002,-0.10541835843806059,0.5341685254448856,-0.030621739718684395,0.5965541320347462,0.3347464378468498,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,0.08741636535333397
-0.06429900708487059,0.2568676925294466,0.06015264171446128,0.13227628742518469,-0.058318477910373714,0.14543748054725666,-0.1166628441142697,-0.13060249838207857,-0.09436055917902182,-0.0828436364163795,0.6039894632497923,0.09120909810869884,-2.044966860199897,0.990405062157011,-1.0243224841617709,-0.3388788165045231,1.609655608787683,0.25058112892302387,0.23330506929540404,0.5092663995702973,-0.3018270574067227,0.07273199835636551,0.05418962213837332,-0.029361485536914117,0.7641086026267059,-0.0563838334034645,-0.052736819115017895,-0.04792302844760129,0.36099103042863273,-0.10541835843806059,0.3882956255522473,0.013813064087471795,0.585538705139846,0.3355369934031742,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,0.08741636535333397
0.13535439073944386,0.25671325324746525,0.0716838305671203,0.2095808599071397,0.24268110342539825,0.7024259263756885,-0.1166628441142697,-0.07129908193140426,-0.01831505813410882,-0.11700134127098362,0.6039894632497923,0.10024173060594337,-1.3350011302113236,1.006249456997044,-0.8202732117446995,-0.5105732964024968,1.5574953815021446,0.23027338551704973,0.3382617721566047,0.35502906617424607,-0.24554276759823032,0.10686841243270111,-0.003965090828082668,0.011994966941911284,0.7778496890518266,-0.05644925826580307,-0.05275285629152638,-0.047934264385408126,0.7147734015342443,-0.10541835843806059,0.7374099764718256,0.2572140016300196,0.5720958440354131,0.6117737456751962,-0.27993671711251855,-0.33025295923395726,-0.3700750539782564,0.9035241062732801,-0.35190181417204514,-0.22402375888693507,-0.24008780787669792
