SSAP-MD386.PV,SSAP-FB385.PV,SSAP-PD3850.PV,SSAP-TD3851.PV,SSAP-TD385A.PV,SSAP-TD385F.PV,SSAP-PD385A.PV,SSAP-TD385A1.PV,SSAP-TD385A8.PV,SSAP-DPF389.PV,SSAP-FB389.PV,SSAP-MJ384.PV,SSAP-PVU01.PV,SSAP-SSJ384.PV,SSAP-TTF389.PV,half_假比重,half_平均粒徑μm,half_茶袋保持力,SSAP-FJ3021.PV,EC-SAP,EC,bad_ratio,mix,bridge,FT_total,TD385,TD385A,PD385A
-3.7451846117448895,1.4794665994669987,2.5633093030324092,2.1337921775553306,1.6075589283424594,1.1751967258648142,2.2093132209993227,0.6020827035267633,-0.12779807300622031,0.7069718491900333,-2.7939782019124624,4.192545217688189,0.915236109736496,-0.27752728348397526,-0.01754927769311747,-0.10507154576647525,1.0142318707300735,-2.1181940451490373,1.0064184390202515,4.725185174524887,2.877418421048278,3.385181230164728,4.670499743660279,5.454833629016934,0.6106868483225878,1.5351557521549672,1.063127024820816,1.058716694445787
-3.7451846117448895,1.4931691885753517,0.03990166224983846,2.493255463579128,1.402166660615947,1.5140736860790185,1.4261919134097611,1.1202236817375633,1.4965784222579073,0.722335621786458,-2.7939782019124624,-0.24557739247386912,0.5982141842620501,-0.27752728348397526,0.07785833895382968,-0.10507154576647525,1.0142318707300735,-2.1181940451490373,0.598637054675085,0.49920687421268223,0.6917647192534468,-0.04497267650996795,-0.043756279634333824,-0.04580159003855889,0.6877635905207051,1.603840512912443,1.453668192181078,1.2632696090886744
-1.1664803775787158,1.5137231741612158,1.0146845890461225,1.823244869063301,1.4481518380120022,1.658635725802556,1.2957008588743582,1.132092567094404,1.149990634233197,0.7326848153724927,-2.7939782019124624,-0.2872838976538623,0.32304348976716785,-0.27752728348397526,0.2209695059143832,0.03162424251812421,1.082417845708388,1.3350832173821912,1.218168445832538,-0.1298864410211868,0.3935888322089562,-0.0449507930515267,-0.04375631662094037,-0.0457935512331155,-0.023279631198231697,1.7957613540634136,1.281591729513474,1.1354154586138205
-1.3466461494542197,1.541128328318414,1.201178427188556,1.7844524182108414,1.4813721316934545,1.696970868032054,1.046803801094902,0.9740072447167001,1.2528186839212128,0.7322580388702501,-2.7939782019124624,-0.3524218566500074,0.3386996021779965,-0.27752728348397526,0.4117850353746312,0.03162424251812421,1.082417845708388,1.3350832173821912,0.8782776294604085,-0.14399495433251208,0.38269352410287505,-0.044950826285986,-0.04375625002373301,-0.04579796468680195,0.4018854314130677,1.7968513391257523,1.194714331433363,1.1317688976702762
-2.1992282898822695,1.5507899192515366,0.6225911452444972,1.7374671696400765,1.4885153764595962,1.706680997014316,1.1760641888123065,0.9547384059541275,1.480500412017212,0.7418603829396455,-2.7939782019124624,-0.3060291085058054,0.5484148891038879,-0.27752728348397526,0.6026002868383001,0.3050158190873231,0.8551312624473392,-0.23458826558654702,0.44242283906637786,0.9360271926509183,0.8782342497172723,-0.044960733390913124,-0.04375628079708953,-0.045803647156771134,-0.03606773325112789,1.801181801054879,1.1997874665824864,1.1327999160939703
-1.2799697244041381,1.5546850011203968,0.8224574263863033,1.7279227682695975,1.4956586212257221,1.7163909865578366,1.5805790621049782,0.927005497994559,1.4316482515549094,0.7430339971156366,-2.7939782019124624,-0.4138107425470014,0.31353020384495794,-0.27752728348397526,0.7112850376159977,0.3050158190873231,0.8551312624473392,-0.23458826558654702,0.29335786363485783,-0.10602621239406701,0.4033616976324221,-0.04494712246846607,-0.04375628891000832,-0.045801562065545066,0.22762335613248216,1.8058258172584085,1.2397093803968566,1.2929231834476653
-0.8194045527136963,1.5585800580233962,0.9470800379172658,1.7689710676267003,1.5028017657506658,1.726100838479406,1.4261919134097611,0.8661005379870624,1.9410501432274905,0.7414336064374043,-2.7939782019124624,-0.2892252544063831,0.4721350497244822,-0.27752728348397526,0.7112850376159977,0.3050158190873231,0.9233172374256539,-0.705489710477164,0.2826730646830174,-0.20877358199159052,0.3820484429623511,-0.04494696087725027,-0.043756314289353164,-0.04580156347385627,0.15242314358848913,1.8298940445589598,1.2796312138072672,1.2937794299908227
-0.9693616501269746,1.5624751148440004,0.25619263692212263,1.778911021518836,1.5098928015629722,1.7378985757550836,1.4072851149143017,0.9238470989207356,1.6390157292591978,0.7432473549593346,-2.7939782019124624,0.268585849322922,0.3465413382948472,-0.27752728348397526,0.7112850376159977,0.3050158190873231,0.9233172374256539,-0.705489710477164,0.27207239947102224,-0.03747661333955805,0.39550683251876184,-0.04494632906799332,-0.04375637580764823,-0.04580103148346854,0.06859919649002305,1.8345359058473918,1.2763934383470923,1.3726229003907209
-0.9899246747030411,1.5023593082216116,0.02010431045701987,1.7326789508185856,1.5169473335430588,1.74989161402436,0.8828991277870458,1.235344438635351,1.8912437852215773,0.7426072206133939,-2.7939782019124624,-0.40490670096576115,0.508409318052713,-0.27752728348397526,0.7112850376159977,0.09997213666042394,0.9005885790995489,-0.5485225621802992,0.26121933066693104,-0.09234366179409534,0.3917140954807999,-0.044970091485966056,-0.043756291836175014,-0.045801171381212764,0.1901040119703444,1.7991719332438423,1.2352168259084515,1.2172902086786903
-1.4812385667697547,1.4907534203503583,-0.005492154309103974,1.7357297937135796,1.524001761272283,1.7618846522936258,0.8828991277870458,1.1478900324953143,1.0724862229714058,0.7432473669622645,-2.7939782019124624,-0.3496103470548079,0.49991005556690626,-0.27752728348397526,0.1416569495956922,0.09997213666042394,0.9005885790995489,-0.5485225621802992,0.331743909723699,-0.10709832631681769,0.3971412607920393,-0.04494627492353316,-0.043756142109532666,-0.04580021569776637,0.16016686610970082,1.8151438966254505,1.1772379015950394,1.0924198491047734
