SSAP-FD3863.PV,SSAP-MD386.PV,SSAP-TD3861.PV,SSAP-TD3863.PV,SSAP-FB385.PV,SSAP-MD385.PV,SSAP-PD3850.PV,SSAP-PD3851.PV,SSAP-TD3851.PV,SSAP-TD385F.PV,SSAP-MD385A.PV,SSAP-PD385A.PV,SSAP-TD385A1.PV,SSAP-FB389.PV,half_假比重,half_平均粒徑μm,half_膠體強度,half_茶袋保持力,SSAP-FJ3021.PV,EC-SAP,EC,bad_ratio,mix,bridge,TD385,TD385A,PD385A,BC283FHA,BC283HA,BC383GA,BC8000
27.75454556363637,25.617830800000004,121.4696370909091,26.94303026363637,347.96862792727273,43.146320700000004,-10.437272936363636,5.596872709090909,171.59005599090912,143.33271372727273,25.25573852727273,-21.07438019090909,165.5671372818182,664.2732488454545,635.0,508.0,109.0,46.5,101.46273457272729,0.007279004866474009,74.80753811818181,0.12726652101999275,0.7483102449212907,0.04155672956837488,161.5,182.77669385454544,9.801089522727274,0,1,0,0
27.70969756363636,27.15578930000001,126.50272716363637,29.114103999999998,348.14840420909087,47.99619535454545,-9.10712120909091,5.598854154545454,172.63147942727272,155.53981572727272,26.13562809090909,-22.69589041818182,158.2747441909091,658.5752563545456,635.0,508.0,109.0,46.5,101.4868802181818,0.007250997306833574,74.80683829090908,0.16717003301455885,0.7478493633383806,0.04156374527456533,161.51689078636363,188.1264072772728,11.479515845454548,0,1,0,0
27.65454605454545,28.21253290909091,125.11272567272728,30.1046668,348.32818049090906,48.32644441818182,-7.631515200000001,6.179404963636364,173.7814774818182,158.8664217909091,26.0,-20.96022032727273,159.67702693636363,666.3454478909091,633.1666666666666,508.8333333333333,107.8,46.6,101.5103641818182,0.0072564442471940264,74.6945270090909,0.16410588515227065,0.7475846804097089,0.04080225558406878,164.86209107727277,189.25828205909093,11.518521654545456,0,1,0,0
27.67515219090909,28.53935294545455,125.27518254545453,30.49848506363636,348.4720015090909,48.42599972727273,-7.435151490909091,6.1999998,174.54316988181816,159.51016512727273,26.038500181818186,-20.829794963636363,159.62775213636363,665.1179864999998,631.3333333333334,509.6666666666667,106.6,46.6,101.53219326363636,0.006476017651398706,66.65657875454545,0.16308848492113376,0.7483233677533496,0.04055801542439283,164.92172380000005,188.35031474090908,11.196644895454543,0,1,0,0
27.654546063636364,28.93264319090909,124.33491099090912,30.730781036363634,348.6158225272727,48.60827324545455,-7.298454572727271,6.1999998,174.89490021818185,159.66401395454545,26.12454588181818,-20.699369427272728,159.5784745636364,669.3951527,629.5,510.5,105.4,46.7,101.55336206363636,0.006485247870034957,66.71783792727273,0.16245849627506556,0.7477647793873654,0.040400772800065037,164.88126095454547,187.99779233181818,11.126490986363638,0,1,0,0
27.645454936363638,29.399999600000005,121.45759511818184,30.91147891818181,348.7596435636364,48.72733343636364,-6.945454518181819,6.1999998,175.21450251818183,159.8178613909091,26.30613881818181,-20.568944236363638,159.52919562727277,664.9131358727273,627.6666666666666,511.3333333333333,104.2,46.7,101.57254583636364,0.006518911953276548,66.83525848181819,0.16236767495330304,0.7479503981974309,0.04041280444907993,164.7705105909091,187.88823075909096,10.998999595454547,0,1,0,0
27.65454605454545,30.261280072727274,124.0695974181818,30.98472509090909,348.9034645727272,48.99575632727272,-7.1609091454545455,5.8636604636363625,174.05200749999997,159.9717102090909,26.56109913636364,-20.438519045454548,159.47991943636362,666.9086636636364,625.8333333333334,512.1666666666666,103.0,46.6,101.5956989818182,0.0065067669914455105,66.80199052727272,0.16245170709959167,0.7480289618229196,0.040424925867134,163.14627282727272,187.77866849545453,11.0028605,0,1,0,0
27.67636439090909,31.71637812727273,126.60153407272728,29.27113151818181,349.19110662727275,49.45872670909091,-6.981212272727272,5.803206872727272,174.2215576181818,159.39476009999996,26.78254506363636,-20.17766831818182,159.38136430909088,664.9115323181818,624.0,513.0,101.8,46.5,101.6499176,0.006490389349194547,66.7813345909091,0.1624251632390978,0.7480617355873351,0.04044889733933836,162.7180217409091,187.55954604545457,11.003001209090913,0,1,0,0
27.65818232727273,32.36921240909091,125.8867874090909,30.69235696363637,349.4787486636364,49.5823236,-11.255555518181817,5.9094401454545435,173.6408885636364,159.1711855909091,26.754952345454544,-20.90039219090909,159.32002673636362,666.2944446909091,623.75,512.5,100.6,46.6,101.70109556363636,0.006488104915801745,66.71233956363636,0.1759859511965225,0.7476501506619008,0.04045153163045916,163.2873410409091,187.34969259545448,10.99689275,0,1,0,0
27.69818239090909,31.13280333636364,126.56828239090908,29.29808096363636,349.76639071818187,49.13419202727273,-10.468585781818181,6.106638563636363,174.11562834545455,159.29880037272724,26.600000399999995,-26.51078431818182,159.43481862727273,673.5334417181817,623.5,512.0,99.4,46.95,101.7581482,0.0064989463838093075,66.85728038181819,0.16997113843277556,0.7481711292030948,0.039107510455018486,164.27479900909088,187.26722786363635,10.999678095454543,0,1,0,0
27.63636417272728,29.908813645454543,126.22278454545452,31.347383672727272,350.0540327636363,48.85257582727272,-10.1389898,6.0989709,174.47871815454545,159.4264151818182,26.409877945454546,-26.0,159.5496091,674.546248,623.25,511.5,98.2,47.75,101.81352233636363,0.006470396507871192,66.83303104545455,0.16990918347981745,0.7480496046714074,0.03912257093971997,164.31812216818184,187.1849843818182,10.996938277272728,0,1,0,0
