SSAP-FB385.PV,SSAP-MD385.PV,SSAP-PD3850.PV,SSAP-PD3851.PV,SSAP-TD3851.PV,SSAP-TD3853.PV,SSAP-TD3854.PV,SSAP-TD385A.PV,SSAP-TD385B.PV,SSAP-TD385C.PV,SSAP-TD385D.PV,SSAP-TD385E.PV,SSAP-TD385F.PV,SSAP-MD385A.PV,SSAP-PD385A.PV,SSAP-PD385A1.PV,SSAP-PD385A2.PV,SSAP-TD385A1.PV,SSAP-TD385A13.PV,SSAP-TD385A14.PV,SSAP-TD385A2.PV,SSAP-DPF389.PV,SSAP-FB389.PV,SSAP-FIP382.PV,SSAP-FJ3843.PV,SSAP-SSJ384.PV,SSAP-WT383.PV,SSAP-WV383.PV,half_假比重,half_平均粒徑μm,half_茶袋保持力,SSAP-FJ3021.PV,SSAP-FT1170.PV,SSAP-FT1173.PV,SSAP-FT3161.PV,SSAP-FT3162.PV,SSAP-WV317A.PV,SSAP-WV317B.PV,SSAP-FJ3011.PV,SSAP-FJ3022.PV,SSAP-FJ303A.PV,EC,bad_ratio,mix,bridge,FT_total
344.94788326190474,46.76547622857144,-5.740026428571428,10.917143909523812,194.11402529523806,186.1999969,186.49786813333336,172.02556936666667,177.80020650476192,179.76594833809517,165.17505464285716,178.79902213333332,177.7154969714286,26.683770428571428,-22.11712973809524,12.907182800000001,12.896984966666665,165.04243180000003,193.21312314285709,193.89695594285712,157.93426731904762,74.79682522857142,1059.6235525904765,37.33538128095237,37.37970806190477,20.0,469.6193673238093,3600.1355677952392,618.0,563.0,46.8,114.4229104142857,0.0,0.0,4.2495237,23.59131895238095,81.23809523809524,185.09523809523807,1449.000197633333,0.0349594380952381,0.03402818571428571,74.71508934285714,3860.5958377213415,27787.9879840745,1658.6005445007006,27.84084265238095
345.73979984285705,48.480872561904754,-10.70023819047619,11.115550038095238,198.011175247619,186.97536940476192,187.204159647619,170.5620117142857,177.32626485714286,180.6814880285714,164.6068485809524,178.38765171428574,181.26835342380957,26.548313414285715,-25.0,13.161930671428568,13.160601442857145,167.0392950190476,195.31872122857132,195.23768470952385,160.57835026190475,75.25396874285714,1059.6235525904765,33.86809522857143,33.899603166666665,20.0,479.2698422380953,3594.6905343142853,618.0,563.0,46.8,110.3306681238095,0.0,0.0,4.992857166666666,24.415216171428572,126.0,185.0,1449.000197633333,854.366443447619,1708.8519693904764,67.7676983952381,0.12133183752205053,0.7478985215880578,0.04304380288905895,29.40807333809524
346.927680604762,48.83164015714285,-8.784126952380952,11.708309533333335,190.74720182380955,189.00473967142852,189.31489559523803,170.88968694285714,178.60911269523803,182.05444772380955,164.62594458571425,180.0,182.78397188095246,26.752954485714287,-25.480371019047624,13.001281195238096,12.99725146190476,167.0850365095238,194.22987438095242,194.80804443333332,159.52331759999996,75.56190526666667,1059.6235525904765,33.401545385714286,33.4183613,20.0,464.69428216666665,3598.4385928238103,620.0,566.0,49.0,116.54790279047613,0.0,0.0,7.306746052380951,7.643415285714287,189.0,185.14285714285717,1448.6316150571427,854.2222202857142,1709.0913841619047,66.81990668571429,0.14596062553316924,0.7476805114267727,0.04546767223029335,14.95016133809524
348.51151237619047,48.822116304761906,-8.417539757142857,11.69596658095238,190.32663036666665,189.03343200476192,189.30971636190475,171.12640381428568,178.7109127904761,182.29372878571442,164.65140569523808,180.0,183.18588547619046,26.831370757142853,-26.39662488571428,12.99286351904762,12.996428266666667,166.47579157619046,194.0360819476191,194.2351880857143,159.68755594285713,75.54920668571428,1059.6235525904765,33.390332904761905,33.39494159523809,20.0,465.324990404762,3597.803362171429,620.0,566.0,49.0,113.13696833809523,0.0,0.0,7.330952395238095,16.264251709523812,188.952380952381,185.09523809523807,1449.3946475095236,854.3380940761904,1708.9798932809524,66.78527449999999,0.14592322173546374,0.7480730553575016,0.044136922885148096,23.595204104761905
349.06988670952387,48.81060880952381,-9.554857166666668,11.690296742857141,189.81723603809525,189.0621236142857,189.37444124761902,171.17730422380956,178.81271362380954,182.39553251428575,164.6768660761905,180.0,183.28768848571426,26.76323980476191,-25.92078426666668,12.99596122857143,12.995943295238098,166.40153140952384,194.212186547619,194.10385131904764,159.93575830952386,75.83492097142856,1059.6235525904765,34.93054489523809,33.4298717,20.0,466.07713972380964,3588.720482242857,624.0,556.0,48.0,108.76299867142859,0.0,0.0,7.338095185714287,7.352040814285715,173.5714285714286,171.952380952381,1449.2827904142855,854.5460350380953,1709.1957659047614,68.36041659523809,0.1347732479911736,0.7478916679569468,0.04242353837325946,14.690136000000004
349.29499598571437,48.655311938095245,-9.16198402857143,11.712736085714289,189.713759647619,189.09081522380959,189.44593010952386,171.22820463333332,178.9145144523809,182.49733915714282,164.71869187619052,180.0,183.3894900333333,26.65970086190476,-24.43166133333333,13.197678423809526,13.199999800000002,166.29465157142857,194.388290404762,194.2800380142857,159.63864935238095,75.86984143809525,1059.6235525904765,33.440793171428574,33.41017786666667,20.0,468.9066685238095,3598.031517390478,624.0,556.0,48.0,107.26707458095241,0.0,0.0,7.292968204761902,12.758898909523804,188.95555550476192,185.00634910476188,1408.3863002142855,830.4640590142857,1661.0922735285715,66.85097103809524,0.15009169157651034,0.7478438479782794,0.043052237342543535,20.051867114285702
349.5201038190477,48.63941828571429,-8.917015861904762,11.817242623809525,190.1587880666667,189.30000310000003,189.75594075714284,171.27910432857144,179.02015177142852,182.59956941904758,164.92293584285713,180.02482968571425,183.49129013809525,26.58536112380952,-25.0,13.199932914285714,13.199915152380955,166.05992998095238,194.5643942714286,194.4562239904762,159.15133957619042,75.82222239047621,1059.6235525904765,33.37584614285714,33.407377880952374,20.0,469.6166672476191,3603.3501557904774,624.0,559.0,47.7,107.15984853333336,0.0,0.0,7.3178556809523805,11.204936938095235,189.0,185.04444449523808,1406.7108851714286,829.8764009047618,1659.2138788142852,66.78322402380951,0.15027355477739354,0.7476942545016353,0.043051812707021984,18.522792619047614
349.7452116476191,48.67586789047619,-10.275079361904762,11.827881676190474,190.26655287142853,189.30000310000003,189.85607474285717,171.32963271428568,179.14588928095242,182.72468058095242,165.07323783333337,180.15037027619044,183.61498006666665,26.598404576190482,-25.069600771428572,13.30272788095238,13.296920047619047,166.28247941904763,194.35963585714282,194.63241068571426,159.86362639047618,75.87618982380953,1059.6235525904765,33.404656190476196,33.42134711428571,20.0,468.39756702380953,3590.727585571429,624.0,559.0,47.7,107.05346680000002,0.0,0.0,7.3013227380952355,9.517045714285716,189.0,185.047619047619,1399.4187767428568,825.9013177809525,1651.487467447619,66.82600330476191,0.1509846259407799,0.7473316472044903,0.0432122190260593,16.818368452380952
346.27092633809525,48.82656606190476,-10.739153447619048,11.726055185714287,189.7653241809524,189.0593930142857,189.33381508571426,171.37990098571433,179.27162679047618,182.85041809047613,164.87204851904758,180.27591015714287,183.7407175714286,26.73793275238095,-27.0,13.103969442857144,13.102044742857142,167.48295883809527,194.05833508095242,194.57034883333333,160.37087431904757,75.85714285714286,1059.6235525904765,33.396418985714284,33.417528600000004,20.0,471.7317461238095,3594.847842280952,621.0,558.0,47.8,106.9445521,0.0,0.0,7.317089942857144,11.971882090476193,148.7174602714286,159.06349191428572,1400.2878185476188,825.9751325333333,1651.3114246190478,66.81394758571429,0.1242411586568757,0.7478266002734963,0.043170036906401255,19.288972033333334
345.6001848476191,48.96645446666668,-10.789467904761903,11.738207328571427,189.79840013809525,189.1806030238095,189.5571514238095,171.43016851428567,179.39736503333333,182.9761555904762,164.67085993809525,180.40145074285718,183.86645507619045,26.76954696190476,-27.0,12.943275047619045,12.946301004761903,167.1459183523809,193.75703502857147,194.3600144142857,160.21587118571432,75.87619018095238,1059.6235525904765,33.417584014285715,33.41361453809524,20.0,465.3625372047619,3597.060709638096,621.0,558.0,47.8,107.65229324761906,0.0,0.0,7.346391542857141,11.333857128571427,189.0,185.16190445714284,1401.8607700904763,825.651216052381,1651.4947335428574,66.83119855238095,0.1510455629464547,0.7487091340470873,0.043458195616293535,18.680248671428572
