SSAP-MD386.PV,SSAP-FB385.PV,SSAP-PD3850.PV,SSAP-TD3851.PV,SSAP-TD385A.PV,SSAP-TD385F.PV,SSAP-PD385A.PV,SSAP-TD385A1.PV,SSAP-TD385A8.PV,SSAP-DPF389.PV,SSAP-FB389.PV,SSAP-MJ384.PV,SSAP-PVU01.PV,SSAP-SSJ384.PV,SSAP-TTF389.PV,SSAP-WV383.PV,half_假比重,half_平均粒徑μm,half_茶袋保持力,SSAP-FJ3021.PV,EC-SAP,EC,bad_ratio,mix,bridge,FT_total,TD385,TD385A,PD385A
28.201988309523806,347.9686279285715,-10.37793668095238,171.55428423333333,154.17889258571432,143.3443509047619,-21.939016161904764,165.88586715714285,91.97887348095242,74.82222239047621,1240.770961219048,9.473915195238094,17.462095633333327,20.0,137.76926168095238,3596.373930433333,635.0,508.0,46.5,101.46273513333333,0.0072812744938468565,74.8176736285714,0.1462289872046244,0.7482222689204138,0.04155410148689335,0.10000000000000002,161.5,182.77669415238097,9.799273326190477
28.201988309523806,348.32818022857145,-7.3771428142857145,174.00247119523812,155.3567730095238,158.86103529523808,-20.961884171428565,159.67702811428575,102.74527122380951,75.81904711428572,1240.770961219048,9.411851785714283,17.485841290476188,20.0,128.37132735714286,3604.966227219048,635.0,508.0,46.5,101.51036361904758,0.007259072855962312,74.76774996190474,0.16468032984960593,0.7478923327191679,0.04095811030716393,0.10000000000000002,165.17461505,189.244642352381,11.556430428571426
28.952908376190482,348.61582292857145,-7.211952423809526,174.90336462380947,156.68229602857141,159.66401308571423,-20.699369604761905,159.57847376666666,103.28835296666664,75.89206332380952,1240.770961219048,9.500158671428574,17.437245414285716,20.0,138.06124224285716,3599.146879623809,635.0,508.0,46.7,101.5533618,0.006501420741067146,66.85590906666667,0.16246350836374654,0.7478046374536158,0.040405017414271535,0.10571428571428576,164.86126817857144,187.99779255952382,11.112094742857144
30.289585028571423,348.90346418095237,-7.230793752380954,173.42549423809518,156.61020987619042,159.96210806666662,-20.43851897619048,159.47991944285712,101.89171854285715,75.88254001904762,1240.770961219048,9.364126876190477,17.396259395238097,20.0,138.31641570952382,3596.222133109525,635.0,508.0,46.7,101.59576635238098,0.006498721577336324,66.7738467809524,0.16246732221538515,0.7477033931330961,0.04042283781475413,0.10000000000000002,163.40211486666664,187.77866872380955,11.001743859523812
32.4649522,349.47874813809517,-11.154074047619048,173.65017700952382,156.46603975238094,159.17118618095242,-20.900392176190483,159.32002766666668,100.9823891761905,76.0,1240.770961219048,9.392751195238095,17.477744066666666,20.0,138.82676479999998,3596.134684242857,624.0,513.0,46.5,101.70109556666668,0.006500645572063322,66.79199146190476,0.17602650311250226,0.7479066800518043,0.040458873495644164,0.10000000000000002,163.28191375714292,187.35177830238086,10.997334726190477
29.884549457142853,350.0540321000001,-10.281851766666666,174.46953546190483,156.32186889523808,159.4264148476191,-26.0,159.54960995714288,99.61312721428571,76.2476189,1240.770961219048,9.473428595238095,17.424619861904766,20.0,139.3371138761905,3610.511555995238,624.0,513.0,47.2,101.81352196666664,0.006475674183762166,66.80141849523811,0.16992737279135853,0.7479181454821325,0.039118154790276666,27.545027738095246,164.31465148809525,187.18498484285718,10.996938273809523
29.06188058095239,350.25597853809523,-10.606560890476194,174.24582853809517,156.58097984761906,159.68164353333333,-26.749300457142855,159.7791922428571,102.15088580952379,76.06666637142857,1240.770961219048,9.43666661904762,17.546776447619045,20.0,139.84746222857143,3597.6638299809515,624.0,513.0,46.3,101.92342885714285,0.0065054305143690755,66.86957731428572,0.16986878952439252,0.7475279739569209,0.039155032311875136,16.691612299999996,164.29233877857146,187.020498,11.000725180952383
29.343682147619052,350.3309747571429,-10.913650966666665,173.11295645238098,156.91219075714287,159.9368722047619,-26.93939880476191,160.00877380476194,99.86872864285715,76.00952366190477,1240.770961219048,9.458095195238093,17.533196309523813,20.0,140.0,3602.974620995239,613.0,513.0,46.4,101.99167451904762,0.006493716030821555,66.84769730000001,0.1429354993425075,0.7482846733668718,0.0391974900910456,17.855233257142856,164.04875837142856,186.8106863833333,10.91866446904762
32.871867214285714,350.40597243333326,-11.237407376190477,173.01816739523807,157.24340239047618,160.46461705714285,-25.19681329523809,160.16180928571424,98.15381440952379,76.0,1240.770961219048,9.379047533333333,17.548333933333335,20.0,140.0,3604.3238699857134,613.0,513.0,47.4,101.96422613333333,0.006489889424141207,66.83332389999998,0.16982741215243774,0.7478893291205819,0.039177196055090416,16.21893651428571,164.2035576952381,186.57827868571425,10.84952824047619
33.76530366190476,350.48148018571425,-10.935873033333333,176.09750876190483,157.57735988095237,161.48196121904763,-26.429427738095235,159.93169293809532,98.86288124761904,76.0,1240.770961219048,9.394338514285714,17.51584643333333,20.0,140.0,3601.0923781571423,617.0,511.0,47.7,101.93618738095236,0.006491304622394205,66.78796457142856,0.16982734875486602,0.7482113641375298,0.03915965801025722,21.530210985714284,165.9597999833333,186.21944718571427,10.854037107142858
33.59157689999999,350.16046288095254,-11.017672009523807,174.90454247142856,158.4261510904762,162.49355278571431,-26.023522152380966,159.7028786761905,102.04620433333332,76.04761904761905,1240.770961219048,9.321428666666666,17.568768276190482,20.0,140.0,3599.8896135571417,617.0,511.0,48.1,101.90787251904764,0.006497355936113824,66.82789757142857,0.1698429730771798,0.7478565992582449,0.039159131331686164,19.157169304761904,165.78968192142855,185.86194537619045,10.69737680714286
